schema,view_name,create_date,modify_date
list_views,LOV_G06_PICKSTATUS,2026-06-02 21:09:52.793,2026-06-02 21:09:52.793
list_views,LOV_G11_G12_STATUS_CAMPAIGN,2026-06-03 15:45:59.177,2026-06-03 15:45:59.177
list_views,V_BEWERBUNG_STATUS,2026-06-15 15:21:36.813,2026-06-15 15:21:36.813
list_views,V_LIST_COMPLETED_CAMPAIGNS,2026-06-06 00:10:25.923,2026-06-06 00:10:25.923
list_views,V_LIST_EMPLOYEE,2026-06-15 15:21:36.807,2026-06-15 15:21:36.807
list_views,V_LIST_G05_ABC_HISTORY,2026-06-15 10:41:45.617,2026-06-15 10:41:45.617
list_views,V_LIST_G05_LIEFERUNG_DETAIL,2026-06-15 08:27:06.650,2026-06-15 10:40:00.593
list_views,V_LIST_G06_LIEFERSCHEIN,2026-05-21 13:16:22.177,2026-05-21 13:16:22.177
list_views,V_LIST_G06_PICKLISTE,2026-05-21 13:18:43.650,2026-06-12 11:51:06.923
list_views,V_LIST_G07_INVOICE,2026-06-03 16:34:36.387,2026-06-03 16:34:36.387
list_views,V_LIST_G07_INVOICE_ITEM,2026-06-03 16:35:23.340,2026-06-03 16:35:23.340
list_views,V_LIST_G07_OPEN_DELIVERIES_FOR_INVOICE,2026-06-03 16:35:57.753,2026-06-03 16:35:57.753
list_views,V_LIST_G08_INVOICE_INTERNAL,2026-06-02 14:45:03.427,2026-06-02 14:45:03.427
list_views,V_LIST_G08_PAYMENT_PROCESSING,2026-06-02 14:45:24.477,2026-06-02 14:45:24.477
list_views,V_LIST_G08_PAYMENT_RECEIPT,2026-06-02 14:44:42.073,2026-06-02 14:44:42.073
list_views,V_LIST_G09_DAILY_CLOSING_B2C,2026-06-08 15:43:25.720,2026-06-08 15:43:25.720
list_views,V_LIST_G09_INVOICE_TAX_B2C,2026-06-08 15:44:21.133,2026-06-08 15:44:21.133
list_views,V_LIST_G09_TAX_EXPORT_B2C,2026-06-08 15:43:45.777,2026-06-08 15:43:45.777
list_views,V_LIST_G10_DAILY_CLOSING_B2C,2026-06-15 10:45:55.337,2026-06-15 10:45:55.337
list_views,V_LIST_G10_INVOICE_ITEM_B2C,2026-06-15 10:45:55.330,2026-06-15 10:45:55.330
list_views,V_LIST_G10_PAYMENT_B2C,2026-06-15 10:45:55.333,2026-06-15 10:45:55.333
list_views,V_LIST_G11_CAMPAIGN,2026-06-03 15:42:49.507,2026-06-08 23:49:57.467
list_views,V_LIST_G11_G12_ACTIVE_CAMPAIGN,2026-06-03 15:58:21.173,2026-06-08 23:15:17.043
list_views,V_LIST_G11_G12_CAMPAIGN_SUCCESS,2026-06-03 15:45:01.893,2026-06-09 13:07:56.177
list_views,V_LIST_G11_G12_COMPL_CAMPAIGN,2026-06-03 15:59:47.713,2026-06-08 14:19:04.170
list_views,V_LIST_G12_CAMPAIGN,2026-06-03 15:43:19.530,2026-06-09 13:23:41.457
list_views,V_LIST_JOB_LOG,2026-06-15 15:21:36.847,2026-06-15 15:21:36.847
list_views,V_LIST_SALESOFFER,2026-05-14 12:39:55.270,2026-05-14 12:39:55.270
list_views,V_LIST_SALESOFFER_ITEM,2026-05-14 12:39:55.310,2026-05-14 12:39:55.310
list_views,V_LIST_STELLE,2026-06-15 15:21:36.787,2026-06-15 15:21:36.787
list_views,V_LIST_STELLE_ENTWURF,2026-06-15 15:21:36.793,2026-06-15 15:21:36.793
list_views,V_LIST_STELLE_FREIGABE,2026-06-15 15:21:36.790,2026-06-15 15:21:36.790
list_views,V_LIST_VORGANG,2026-06-15 15:21:36.800,2026-06-15 15:21:36.800
